"","Distribucion","k1","k2","k3"
"1","Uniforme",0.585678539437763,1,1
"2","Normal",0.681919197221266,0.954155177730353,0.997257613179092
"3","Exponencial",0.847192314607207,0.948647386276139,0.980813707085278
"4","Gamma1",0.714060236760919,0.944638889437701,0.981995647481319
"5","Gamma2",0.705540698643134,0.954279734854361,0.987507508263294
"6","Beta",0.636796020758531,0.988639866459746,1
"7","Weibull",0.665943585949072,0.955498912682431,0.999053849358047
"8","Log-normal",0.983234172376834,0.992749083349803,0.995827133895017
