"","Distribucion","k...1","k...2","k...3"
"1","Uniforme",0.577350269189626,1,1
"2","Normal",0.682689492137086,0.954499736103642,0.99730020393674
"3","Exponencial",0.864664716763387,0.950212931632136,0.981684361111266
"4","Gamma1",0.737518758268325,0.953377869665933,0.985915139916566
"5","Gamma2",0.715318443329575,0.95580964087565,0.98820375444506
"6","Beta",0.626099033699941,0.983869910099907,1
"7","Weibull",0.671719734525185,0.95710369369011,0.999150864365055
"8","Log-normal",0.980271829732638,0.991225159864447,0.994870086250836
